+transaction_id,timestamp,sender_vpa,receiver_vpa,amount,is_new_beneficiary
TXN-RING-001,2026-08-20T14:37:00.000Z,mule-a@upi,mule-b@upi,50000,true
TXN-RING-002,2026-08-20T14:37:01.000Z,mule-b@upi,mule-c@upi,48000,true
TXN-RING-003,2026-08-20T14:37:02.000Z,mule-c@upi,mule-d@upi,46000,true
TXN-RING-004,2026-08-20T14:37:03.000Z,mule-d@upi,mule-e@upi,44000,true
TXN-RING-005,2026-08-20T14:37:04.000Z,mule-e@upi,mule-a@upi,42000,true
TXN-RING-006,2026-08-20T14:37:05.000Z,mule-a@upi,mule-c@upi,25000,true
TXN-RING-007,2026-08-20T14:37:06.000Z,mule-c@upi,mule-e@upi,25000,true
TXN-RING-008,2026-08-20T14:37:07.000Z,mule-b@upi,mule-d@upi,25000,true
TXN-NORMAL-001,2026-08-20T14:01:00.000Z,arun.k@upi,market@upi,286,true
TXN-NORMAL-002,2026-08-20T14:01:17.000Z,vikram.t@upi,cafe@upi,499,false
TXN-NORMAL-003,2026-08-20T14:01:34.000Z,neel.a@upi,grocer@upi,735,false
TXN-NORMAL-004,2026-08-20T14:02:51.000Z,meera.s@upi,dairy@upi,1200,false
TXN-NORMAL-005,2026-08-20T14:02:08.000Z,pooja.m@upi,fuel@upi,1840,false
TXN-NORMAL-006,2026-08-20T14:02:25.000Z,tara.p@upi,repair@upi,2300,false
TXN-NORMAL-007,2026-08-20T14:03:42.000Z,lakshmi.r@upi,utility@upi,3575,false
TXN-NORMAL-008,2026-08-20T14:03:59.000Z,kiran.d@upi,vendor@upi,4900,false
TXN-NORMAL-009,2026-08-20T14:03:16.000Z,zoya.h@upi,artisan@upi,612,false
TXN-NORMAL-010,2026-08-20T14:04:33.000Z,dev.p@upi,local@upi,975,true
TXN-NORMAL-011,2026-08-20T14:04:50.000Z,amit.v@upi,pharmacy@upi,1550,false
TXN-NORMAL-012,2026-08-20T14:04:07.000Z,suraj.m@upi,rent@upi,2250,false
TXN-NORMAL-013,2026-08-20T14:05:24.000Z,sana.j@upi,tailor@upi,899,false
TXN-NORMAL-014,2026-08-20T14:05:41.000Z,farah.q@upi,school@upi,1299,false
TXN-NORMAL-015,2026-08-20T14:05:58.000Z,anaya.d@upi,books@upi,3200,false
TXN-NORMAL-016,2026-08-20T14:06:15.000Z,ravi.n@upi,clinic@upi,286,false
TXN-NORMAL-017,2026-08-20T14:06:32.000Z,manoj.b@upi,family@upi,499,false
TXN-NORMAL-018,2026-08-20T14:06:49.000Z,rohan.k@upi,travel@upi,735,false
TXN-NORMAL-019,2026-08-20T14:07:06.000Z,nisha.g@upi,fresh@upi,1200,true
TXN-NORMAL-020,2026-08-20T14:07:23.000Z,ishita.c@upi,merchant@upi,1840,false
TXN-NORMAL-021,2026-08-20T14:07:40.000Z,arun.k@upi,market@upi,2300,false
TXN-NORMAL-022,2026-08-20T14:08:57.000Z,vikram.t@upi,cafe@upi,3575,false
TXN-NORMAL-023,2026-08-20T14:08:14.000Z,neel.a@upi,grocer@upi,4900,false
TXN-NORMAL-024,2026-08-20T14:08:31.000Z,meera.s@upi,dairy@upi,612,false
TXN-NORMAL-025,2026-08-20T14:09:48.000Z,pooja.m@upi,fuel@upi,975,false
